entry_ts,exit_ts,side,entry_price,exit_price,qty,pnl,pnl_r,session,news_bucket,rr_planned,stop_price,target_price
2023-01-02 01:28:00+00:00,2023-01-02 04:29:00+00:00,Side.LONG,1.0536426795,1.0673293103660253,145560.40756913793,1899.6127029206964,1.992231567106984,TOKYO,NONE,2.0,1.0467726794999999,1.0673826795000003
2023-01-02 04:50:00+00:00,2023-01-02 06:28:00+00:00,Side.LONG,1.0701635054999998,1.064010302324725,167048.54541462427,-1134.8368291480526,-1.00872183201228,TOKYO,NONE,2.0,1.0640635054999998,1.0823635054999998
2023-01-02 07:51:00+00:00,2023-01-02 11:11:00+00:00,Side.LONG,1.0764838215,1.0915492413089252,133286.74057377316,1921.3296835877852,1.9927803980059577,TOKYO,NONE,2.0,1.0689238215,1.0916038215000001
2023-01-03 00:06:00+00:00,2023-01-03 00:45:00+00:00,Side.LONG,1.0723936170000001,1.0828194733191498,195965.85030030948,1916.4073489442042,1.9896672364789874,TOKYO,NONE,2.0,1.0671536170000002,1.082873617
2023-01-03 01:21:00+00:00,2023-01-03 01:44:00+00:00,Side.LONG,1.0799739959999999,1.0870796393001998,292185.7902410812,1886.2133191626574,1.9848165643016988,TOKYO,NONE,2.0,1.076393996,1.0871339959999997
2023-01-03 04:01:00+00:00,2023-01-03 14:10:00+00:00,Side.SHORT,1.0657067120000001,1.0505592373356,140116.74503350857,2033.4575565194239,1.9930887716315693,TOKYO,NONE,2.0,1.0733067120000002,1.050506712
2023-01-04 00:42:00+00:00,2023-01-04 01:15:00+00:00,Side.SHORT,1.0350182465,1.039600223912325,239563.31960703872,-1246.7744655680674,-1.011474042455872,TOKYO,NONE,2.0,1.0395482464999999,1.0259582465000001
2023-01-04 01:33:00+00:00,2023-01-04 02:46:00+00:00,Side.LONG,1.0406820315,1.0522494163984248,184639.2587201739,2019.8621796484565,1.9909440444793547,TOKYO,NONE,2.0,1.0348720315000002,1.0523020314999998
2023-01-04 03:00:00+00:00,2023-01-04 03:10:00+00:00,Side.LONG,1.057192857,1.04919039485715,137478.3289258684,-1187.0397375543766,-1.0065990116792363,TOKYO,NONE,2.0,1.0492428569999999,1.0730928570000002
2023-01-04 03:53:00+00:00,2023-01-04 05:22:00+00:00,Side.LONG,1.0564028175,1.0479604168591248,128853.67313290965,-1169.1808123423075,-1.0062456067789134,TOKYO,NONE,2.0,1.0480128174999999,1.0731828175000002
2023-01-04 06:38:00+00:00,2023-01-04 07:59:00+00:00,Side.LONG,1.057872891,1.0517603003554499,176467.08076925948,-1190.355270212964,-1.0086783241831847,TOKYO,NONE,2.0,1.051812891,1.0699928909999998
2023-01-04 08:00:00+00:00,2023-01-04 09:55:00+00:00,Side.SHORT,1.050407477,1.06344064637385,81470.48973494417,-1113.4835642369958,-1.0040962537634759,TOKYO,NONE,2.0,1.063387477,1.024447477
2023-01-04 23:47:00+00:00,2023-01-05 02:53:00+00:00,Side.LONG,1.0446222285,1.0556494433885748,188872.2240283804,1963.7297063239778,1.9904720015478474,TOKYO,NONE,2.0,1.0390822285,1.0557022284999997
2023-01-05 03:50:00+00:00,2023-01-05 05:49:00+00:00,Side.SHORT,1.0469676490000002,1.03506,124096.55624917716,1400.1864955470264,1.3862222351571527,TOKYO,NONE,2.0,1.0555576490000003,1.029787649
