ts_utc,date_utc,time_utc,volume,range_pips
2020-03-18 15:55:00+0000,2020-03-18,15:55,2294.7700000000223,25.8
2020-03-18 16:50:00+0000,2020-03-18,16:50,1599.7299999999989,25.8
2020-03-18 18:20:00+0000,2020-03-18,18:20,1631.8699999999992,28.7
2020-03-18 22:50:00+0000,2020-03-18,22:50,783.7600000000008,27.0
2020-03-18 23:00:00+0000,2020-03-18,23:00,1610.6200000000213,50.6
2020-03-18 23:05:00+0000,2020-03-18,23:05,1153.180000000012,43.5
2020-03-18 23:40:00+0000,2020-03-18,23:40,908.6300000000136,26.5
2020-03-18 23:55:00+0000,2020-03-18,23:55,801.4300000000037,31.3
2020-03-19 00:30:00+0000,2020-03-19,00:30,885.8300000000067,25.1
2020-03-19 02:55:00+0000,2020-03-19,02:55,948.9700000000043,30.7
2020-03-19 03:30:00+0000,2020-03-19,03:30,1162.9400000000053,27.2
2020-03-19 06:45:00+0000,2020-03-19,06:45,1487.8199999999956,25.7
2020-03-19 08:05:00+0000,2020-03-19,08:05,1591.8800000000117,38.4
2020-03-19 08:15:00+0000,2020-03-19,08:15,1685.861500000016,43.0
2020-03-19 08:20:00+0000,2020-03-19,08:20,1297.9100000000285,27.0
2020-03-19 08:55:00+0000,2020-03-19,08:55,966.8700000000034,25.7
2020-03-19 09:35:00+0000,2020-03-19,09:35,986.100000000014,25.3
2020-03-19 11:20:00+0000,2020-03-19,11:20,794.1200000000108,27.6
2020-03-19 11:30:00+0000,2020-03-19,11:30,1368.409999999979,33.1
2020-03-19 11:35:00+0000,2020-03-19,11:35,1685.6600000000155,33.0
2020-03-19 12:50:00+0000,2020-03-19,12:50,2700.1399999999917,47.3
2020-03-19 12:55:00+0000,2020-03-19,12:55,2542.100000000022,50.9
2020-03-19 13:00:00+0000,2020-03-19,13:00,2694.860000000026,35.7
2020-03-19 13:05:00+0000,2020-03-19,13:05,2128.5000000000255,25.2
2020-03-19 13:10:00+0000,2020-03-19,13:10,2746.7200000000153,26.9
2020-03-19 13:20:00+0000,2020-03-19,13:20,2289.40000000001,32.4
2020-03-19 15:35:00+0000,2020-03-19,15:35,2261.580000000011,33.3
2020-03-19 15:55:00+0000,2020-03-19,15:55,2501.830000000025,50.4
2020-03-19 16:25:00+0000,2020-03-19,16:25,2199.6099999999997,30.3
2020-03-20 02:00:00+0000,2020-03-20,02:00,1100.3999999999996,27.2
2020-03-20 07:25:00+0000,2020-03-20,07:25,1576.1099999999972,27.0
2020-03-20 08:00:00+0000,2020-03-20,08:00,2245.080000000019,32.6
2020-03-20 09:40:00+0000,2020-03-20,09:40,1543.1900000000262,26.1
2020-03-20 14:00:00+0000,2020-03-20,14:00,4276.010000000029,40.4
2020-03-20 14:15:00+0000,2020-03-20,14:15,3373.25000000002,37.8
2020-03-20 15:50:00+0000,2020-03-20,15:50,3118.850000000022,32.8
2020-03-20 15:55:00+0000,2020-03-20,15:55,13207.549999999965,34.9
2020-03-20 16:00:00+0000,2020-03-20,16:00,38214.15552900104,37.5
2020-03-22 22:35:00+0000,2020-03-22,22:35,2988.500000000025,26.6
2020-03-23 00:50:00+0000,2020-03-23,00:50,1836.090000000006,32.0
2020-03-23 06:55:00+0000,2020-03-23,06:55,1559.170000000012,31.6
2020-03-23 12:00:00+0000,2020-03-23,12:00,5427.6299999999155,49.2
2020-03-23 12:15:00+0000,2020-03-23,12:15,5555.509999999943,44.0
2020-03-23 12:20:00+0000,2020-03-23,12:20,8419.329999999862,25.3
2020-03-23 12:25:00+0000,2020-03-23,12:25,4986.099999999988,27.6
2020-03-23 12:30:00+0000,2020-03-23,12:30,6207.2699999999195,28.0
2020-03-23 12:35:00+0000,2020-03-23,12:35,6314.409999999925,26.6
2020-03-23 12:50:00+0000,2020-03-23,12:50,5558.139999999971,33.9
2020-03-23 13:20:00+0000,2020-03-23,13:20,3109.7200000000544,27.1
2020-03-23 13:40:00+0000,2020-03-23,13:40,4439.340000000002,29.3
2020-03-23 13:55:00+0000,2020-03-23,13:55,3393.4700000000216,32.1
2020-03-24 00:50:00+0000,2020-03-24,00:50,1468.6600000000212,30.2
2020-03-24 06:45:00+0000,2020-03-24,06:45,1279.6600000000187,45.4
2020-03-24 06:50:00+0000,2020-03-24,06:50,1348.6500000000076,25.2
2020-03-24 06:55:00+0000,2020-03-24,06:55,923.5800000000118,26.4
2020-03-24 13:35:00+0000,2020-03-24,13:35,3112.700000000037,33.2
2020-03-24 13:45:00+0000,2020-03-24,13:45,3893.830000000025,26.7
2020-03-25 00:50:00+0000,2020-03-25,00:50,1832.330000000018,28.7
2020-03-25 15:55:00+0000,2020-03-25,15:55,3193.010000000009,42.2
2020-03-26 12:30:00+0000,2020-03-26,12:30,3712.069999999995,30.9
2020-03-26 12:55:00+0000,2020-03-26,12:55,2705.210000000008,28.1
2020-03-26 14:55:00+0000,2020-03-26,14:55,2445.0799999999967,31.5
2020-03-27 16:15:00+0000,2020-03-27,16:15,2381.829999999989,28.1
2020-03-31 00:50:00+0000,2020-03-31,00:50,1513.1600000000208,40.3
2020-03-31 00:55:00+0000,2020-03-31,00:55,2012.6300000000049,36.0
2020-03-31 12:30:00+0000,2020-03-31,12:30,3876.4500000000185,28.2
2020-03-31 14:45:00+0000,2020-03-31,14:45,5447.349999999933,30.4
2020-03-31 14:55:00+0000,2020-03-31,14:55,5712.879999999933,30.5
2020-03-31 17:55:00+0000,2020-03-31,17:55,3126.369999999984,38.9
2020-04-02 14:35:00+0000,2020-04-02,14:35,4712.2199999999775,26.4
2020-04-03 12:30:00+0000,2020-04-03,12:30,3412.73000000003,28.4
2020-04-08 06:00:00+0000,2020-04-08,06:00,3042.720000000013,44.6
2020-04-09 14:55:00+0000,2020-04-09,14:55,3599.060000000008,25.3
2020-04-13 10:10:00+0000,2020-04-13,10:10,2208.900000000009,26.6
2020-04-21 13:45:00+0000,2020-04-21,13:45,3254.4499999999925,35.2
2020-04-23 14:10:00+0000,2020-04-23,14:10,2257.710000000001,29.1
2020-04-23 14:20:00+0000,2020-04-23,14:20,3788.5800000000304,32.5
2020-04-30 14:55:00+0000,2020-04-30,14:55,4637.009999999995,43.6
2020-04-30 15:00:00+0000,2020-04-30,15:00,11408.59000000019,31.3
2020-05-01 14:35:00+0000,2020-05-01,14:35,2656.8500000000113,25.1
2020-05-13 13:20:00+0000,2020-05-13,13:20,4669.569999999991,25.3
2020-05-27 09:25:00+0000,2020-05-27,09:25,4890.42999999997,33.3
2020-05-27 09:55:00+0000,2020-05-27,09:55,3558.670000000004,30.7
2020-05-27 12:05:00+0000,2020-05-27,12:05,5140.399999999969,30.0
2020-06-04 11:45:00+0000,2020-06-04,11:45,5340.579999999933,55.1
