ts,open,high,low,close,volume
2020-01-01 23:00:00+00:00,1518.768,1521.068,1518.768,1519.758,0.16901000000000044
2020-01-01 23:15:00+00:00,1519.758,1520.288,1519.168,1519.598,0.15514999999999926
2020-01-01 23:30:00+00:00,1519.588,1519.778,1518.768,1519.328,0.09992999999999956
2020-01-01 23:45:00+00:00,1519.328,1519.328,1518.075,1518.285,0.16122999999999937
2020-01-02 00:00:00+00:00,1518.305,1519.075,1518.008,1519.055,0.20106000000000088
2020-01-02 00:15:00+00:00,1519.025,1519.305,1518.568,1519.205,0.18596000000000076
2020-01-02 00:30:00+00:00,1519.185,1519.285,1518.3,1518.385,0.14824000000000043
2020-01-02 00:45:00+00:00,1518.408,1518.755,1518.3,1518.625,0.13631000000000001
2020-01-02 01:00:00+00:00,1518.605,1519.655,1517.115,1519.135,0.5978799999999855
2020-01-02 01:15:00+00:00,1519.125,1520.835,1519.045,1519.935,0.34221000000000157
2020-01-02 01:30:00+00:00,1519.935,1520.318,1519.308,1519.518,0.26875999999999817
2020-01-02 01:45:00+00:00,1519.608,1519.808,1518.875,1519.365,0.19992000000000074
2020-01-02 02:00:00+00:00,1519.345,1519.365,1518.335,1519.065,0.3382499999999992
2020-01-02 02:15:00+00:00,1519.108,1519.615,1518.985,1519.515,0.1524399999999999
2020-01-02 02:30:00+00:00,1519.535,1520.708,1519.408,1520.675,0.23795000000000113
2020-01-02 02:45:00+00:00,1520.685,1520.855,1520.155,1520.555,0.22690000000000132
2020-01-02 03:00:00+00:00,1520.555,1521.135,1520.485,1520.645,0.2243800000000017
2020-01-02 03:15:00+00:00,1520.635,1520.765,1519.955,1520.215,0.18486000000000083
2020-01-02 03:30:00+00:00,1520.295,1520.435,1519.785,1519.995,0.08400999999999988
2020-01-02 03:45:00+00:00,1520.008,1520.525,1520.008,1520.275,0.09027999999999979
2020-01-02 04:00:00+00:00,1520.275,1520.355,1519.908,1519.908,0.04037000000000006
2020-01-02 04:15:00+00:00,1519.885,1520.075,1519.765,1519.828,0.052260000000000084
2020-01-02 04:30:00+00:00,1519.795,1520.035,1519.715,1519.885,0.0827299999999999
2020-01-02 04:45:00+00:00,1519.885,1520.038,1519.485,1519.485,0.09968999999999971
2020-01-02 05:00:00+00:00,1519.425,1519.425,1518.938,1519.295,0.12558999999999948
2020-01-02 05:15:00+00:00,1519.308,1519.708,1519.085,1519.438,0.10380999999999979
2020-01-02 05:30:00+00:00,1519.508,1520.055,1519.008,1519.585,0.2720400000000013
2020-01-02 05:45:00+00:00,1519.535,1520.375,1519.305,1520.185,0.13374999999999987
2020-01-02 06:00:00+00:00,1520.185,1520.768,1520.175,1520.258,0.2685600000000005
2020-01-02 06:15:00+00:00,1520.248,1520.368,1519.828,1520.108,0.2216599999999999
2020-01-02 06:30:00+00:00,1520.108,1520.388,1519.158,1520.365,0.48756999999999334
2020-01-02 06:45:00+00:00,1520.355,1520.945,1520.085,1520.925,0.3108599999999989
2020-01-02 07:00:00+00:00,1520.945,1521.375,1519.965,1520.405,0.5984399999999852
2020-01-02 07:15:00+00:00,1520.415,1520.525,1519.165,1519.585,0.3797799999999961
2020-01-02 07:30:00+00:00,1519.548,1520.325,1519.038,1519.775,0.47354999999999486
2020-01-02 07:45:00+00:00,1519.775,1520.085,1519.028,1519.128,0.31219999999999876
2020-01-02 08:00:00+00:00,1519.135,1520.175,1518.395,1520.055,1.2484899999999541
2020-01-02 08:15:00+00:00,1520.055,1520.475,1519.105,1519.395,0.5467599999999898
2020-01-02 08:30:00+00:00,1519.405,1520.535,1519.345,1520.425,0.4473899999999943
2020-01-02 08:45:00+00:00,1520.425,1520.968,1519.785,1520.748,0.7774899999999764
2020-01-02 09:00:00+00:00,1520.758,1520.928,1519.815,1519.935,0.5201499999999912
2020-01-02 09:15:00+00:00,1519.995,1520.515,1519.515,1520.365,0.30948000000000014
2020-01-02 09:30:00+00:00,1520.365,1521.235,1520.355,1521.175,0.5026699999999918
2020-01-02 09:45:00+00:00,1521.175,1521.348,1520.535,1520.625,0.29696999999999985
2020-01-02 10:00:00+00:00,1520.655,1520.868,1519.588,1519.975,0.49272999999999406
2020-01-02 10:15:00+00:00,1519.978,1520.515,1519.828,1520.395,0.3605799999999992
2020-01-02 10:30:00+00:00,1520.395,1520.505,1519.715,1519.845,0.20870000000000144
2020-01-02 10:45:00+00:00,1519.865,1521.348,1519.825,1521.168,0.4456099999999935
2020-01-02 11:00:00+00:00,1521.188,1521.878,1521.168,1521.375,0.3953299999999986
2020-01-02 11:15:00+00:00,1521.395,1521.638,1521.285,1521.495,0.19198000000000073
2020-01-02 11:30:00+00:00,1521.475,1522.245,1521.135,1522.138,0.437169999999997
2020-01-02 11:45:00+00:00,1522.145,1522.365,1521.315,1521.955,0.23505000000000087
2020-01-02 12:00:00+00:00,1521.955,1522.345,1521.555,1522.265,0.33004999999999907
2020-01-02 12:15:00+00:00,1522.255,1522.688,1521.968,1522.405,0.4730899999999953
2020-01-02 12:30:00+00:00,1522.405,1523.158,1522.278,1523.048,0.3790699999999963
2020-01-02 12:45:00+00:00,1523.025,1523.615,1522.748,1523.048,0.33748999999999657
2020-01-02 13:00:00+00:00,1522.995,1524.128,1522.648,1523.548,0.7690199999999803
2020-01-02 13:15:00+00:00,1523.548,1525.215,1523.228,1524.205,0.8105999999999761
2020-01-02 13:30:00+00:00,1524.205,1525.855,1522.998,1525.645,1.1870699999999605
2020-01-02 13:45:00+00:00,1525.655,1528.978,1525.618,1527.998,1.0371799999999702
2020-01-02 14:00:00+00:00,1528.008,1528.688,1527.138,1527.598,1.2221099999999676
2020-01-02 14:15:00+00:00,1527.598,1527.888,1527.038,1527.475,0.8509999999999902
2020-01-02 14:30:00+00:00,1527.608,1530.498,1527.165,1528.068,2.033659999999991
2020-01-02 14:45:00+00:00,1528.068,1528.708,1525.668,1526.255,1.313319999999965
2020-01-02 15:00:00+00:00,1526.245,1528.578,1525.788,1528.405,1.2670899999999539
2020-01-02 15:15:00+00:00,1528.405,1530.548,1528.405,1529.738,1.302299999999962
2020-01-02 15:30:00+00:00,1529.748,1531.328,1528.925,1528.965,1.270519999999973
2020-01-02 15:45:00+00:00,1528.945,1530.348,1528.728,1529.108,0.6979999999999809
2020-01-02 16:00:00+00:00,1529.115,1529.168,1527.565,1527.605,1.1992799999999704
2020-01-02 16:15:00+00:00,1527.625,1528.975,1526.905,1526.948,0.8814699999999666
2020-01-02 16:30:00+00:00,1526.895,1528.135,1526.858,1527.365,0.928519999999969
2020-01-02 16:45:00+00:00,1527.365,1527.388,1525.208,1525.455,0.8865799999999715
2020-01-02 17:00:00+00:00,1525.468,1526.015,1525.145,1526.015,0.963639999999967
2020-01-02 17:15:00+00:00,1526.015,1526.035,1522.715,1525.045,1.0205199999999588
2020-01-02 17:30:00+00:00,1525.045,1525.605,1524.545,1525.075,0.5449099999999875
2020-01-02 17:45:00+00:00,1525.075,1525.408,1524.598,1525.208,0.5517399999999942
2020-01-02 18:00:00+00:00,1525.205,1525.828,1524.978,1525.185,0.5075899999999938
2020-01-02 18:15:00+00:00,1525.185,1525.875,1524.915,1525.505,0.6076899999999896
2020-01-02 18:30:00+00:00,1525.505,1526.485,1524.848,1526.408,0.5754799999999868
2020-01-02 18:45:00+00:00,1526.395,1526.415,1525.698,1526.298,0.2282100000000008
2020-01-02 19:00:00+00:00,1526.298,1526.618,1526.108,1526.498,0.4618999999999964
2020-01-02 19:15:00+00:00,1526.498,1526.808,1525.508,1525.808,0.6215899999999925
2020-01-02 19:30:00+00:00,1525.808,1526.528,1525.548,1526.255,0.4810799999999974
2020-01-02 19:45:00+00:00,1526.268,1526.908,1526.268,1526.708,0.34663999999999967
2020-01-02 20:00:00+00:00,1526.708,1528.308,1526.448,1528.248,0.6478299999999939
2020-01-02 20:15:00+00:00,1528.248,1528.408,1527.518,1527.648,0.49064999999999587
2020-01-02 20:30:00+00:00,1527.608,1527.708,1526.618,1527.608,0.470910000000002
2020-01-02 20:45:00+00:00,1527.608,1528.548,1527.548,1528.298,0.6948799999999944
2020-01-02 21:00:00+00:00,1528.308,1528.628,1527.835,1528.328,0.18173000000000028
2020-01-02 21:15:00+00:00,1528.398,1528.698,1528.348,1528.698,0.07868000000000004
2020-01-02 21:30:00+00:00,1528.616,1528.928,1528.528,1528.528,0.10243999999999995
2020-01-02 21:45:00+00:00,1528.548,1528.948,1528.398,1528.825,0.17393499999999973
2020-01-02 23:00:00+00:00,1528.568,1529.098,1527.848,1528.268,0.18635999999999975
2020-01-02 23:15:00+00:00,1528.275,1528.678,1528.268,1528.495,0.05032000000000009
