ts,open,high,low,close,volume
2020-01-01 22:00:00+00:00,1.1212,1.12139,1.12106,1.12127,233.6200000000001
2020-01-01 22:15:00+00:00,1.12127,1.12154,1.12127,1.12146,219.70999999999992
2020-01-01 22:30:00+00:00,1.12147,1.12156,1.12138,1.12154,101.51000000000002
2020-01-01 22:45:00+00:00,1.12155,1.12166,1.12143,1.12143,664.8199999999999
2020-01-01 23:00:00+00:00,1.12143,1.12218,1.12142,1.12202,617.4000000000005
2020-01-01 23:15:00+00:00,1.12201,1.1221,1.12195,1.1221,197.96999999999997
2020-01-01 23:30:00+00:00,1.1221,1.12216,1.12207,1.12208,196.84000000000006
2020-01-01 23:45:00+00:00,1.12208,1.12208,1.12176,1.12188,389.4500000000001
2020-01-02 00:00:00+00:00,1.12188,1.1219,1.12161,1.12162,471.7299999999994
2020-01-02 00:15:00+00:00,1.12161,1.12169,1.12157,1.12161,553.5700000000002
2020-01-02 00:30:00+00:00,1.12161,1.12174,1.12157,1.12172,380.0999999999999
2020-01-02 00:45:00+00:00,1.12173,1.1219,1.12172,1.12183,384.5099999999999
2020-01-02 01:00:00+00:00,1.12182,1.12231,1.1218,1.12225,763.2800000000029
2020-01-02 01:15:00+00:00,1.12225,1.12244,1.12219,1.12236,1011.0100000000027
2020-01-02 01:30:00+00:00,1.12234,1.12237,1.1221,1.1221,552.4099999999999
2020-01-02 01:45:00+00:00,1.1221,1.12211,1.1218,1.12209,806.0600000000021
2020-01-02 02:00:00+00:00,1.1221,1.1221,1.12184,1.1219,757.9399999999993
2020-01-02 02:15:00+00:00,1.12191,1.12217,1.12186,1.12216,653.2699999999993
2020-01-02 02:30:00+00:00,1.12216,1.12239,1.12211,1.12238,379.5799999999996
2020-01-02 02:45:00+00:00,1.12239,1.12245,1.12218,1.12222,328.17999999999967
2020-01-02 03:00:00+00:00,1.12224,1.12231,1.12215,1.12217,408.2299999999993
2020-01-02 03:15:00+00:00,1.12216,1.12218,1.1218,1.12181,765.9000000000015
2020-01-02 03:30:00+00:00,1.12181,1.12181,1.12131,1.12135,730.9600000000014
2020-01-02 03:45:00+00:00,1.12134,1.12141,1.12124,1.12132,645.5600000000015
2020-01-02 04:00:00+00:00,1.12132,1.12142,1.12127,1.12142,487.9099999999994
